Playback Hour,Operating System,Browser,Delivery Type,City,Country,ISP,State,Content Quality Entitled,Entitlement Type,Video Type,Audio Language,Title
02/25/2017 01:00:00,Windows 10,Chrome 56.0.2924.87,,portoalegre,br,TELEFONICA_BRASIL_S.A,rs,HD,PRIME_SUBSCRIPTION,Feature,en-us,
02/25/2017 01:00:00,Windows 10,Chrome 56.0.2924.87,,portoalegre,br,TELEFONICA_BRASIL_S.A,rs,HD,PRIME_SUBSCRIPTION,Feature,en-us,
02/25/2017 13:00:00,Windows 10,Chrome 56.0.2924.87,,portoalegre,br,TELEFONICA_BRASIL_S.A,rs,HD,PRIME_SUBSCRIPTION,Feature,en-us,
02/25/2017 14:00:00,Windows 10,Chrome 56.0.2924.87,,portoalegre,br,TELEFONICA_BRASIL_S.A,rs,HD,PRIME_SUBSCRIPTION,Feature,en-us,
02/25/2017 15:00:00,Windows 10,Chrome 56.0.2924.87,,portoalegre,br,TELEFONICA_BRASIL_S.A,rs,HD,PRIME_SUBSCRIPTION,Feature,en-us,
02/25/2017 16:00:00,Windows 10,Chrome 56.0.2924.87,,portoalegre,br,TELEFONICA_BRASIL_S.A,rs,HD,PRIME_SUBSCRIPTION,Feature,en-us,
02/25/2017 17:00:00,Windows 10,Chrome 56.0.2924.87,,portoalegre,br,TELEFONICA_BRASIL_S.A,rs,HD,PRIME_SUBSCRIPTION,Feature,en-us,
02/25/2017 18:00:00,Windows 10,Chrome 56.0.2924.87,,portoalegre,br,TELEFONICA_BRASIL_S.A,rs,HD,PRIME_SUBSCRIPTION,Feature,en-us,
02/25/2017 19:00:00,Windows 10,Chrome 56.0.2924.87,,portoalegre,br,TELEFONICA_BRASIL_S.A,rs,HD,PRIME_SUBSCRIPTION,Feature,en-us,
02/25/2017 20:00:00,Windows 10,Chrome 56.0.2924.87,,portoalegre,br,TELEFONICA_BRASIL_S.A,rs,HD,PRIME_SUBSCRIPTION,Feature,en-us,
02/25/2017 21:00:00,Windows 10,Chrome 56.0.2924.87,,portoalegre,br,TELEFONICA_BRASIL_S.A,rs,HD,PRIME_SUBSCRIPTION,Feature,en-us,
02/26/2017 00:00:00,Windows 10,Chrome 56.0.2924.87,,portoalegre,br,TELEFONICA_BRASIL_S.A,rs,HD,PRIME_SUBSCRIPTION,Feature,en-us,
02/26/2017 01:00:00,Windows 10,Chrome 56.0.2924.87,,portoalegre,br,TELEFONICA_BRASIL_S.A,rs,HD,PRIME_SUBSCRIPTION,Feature,en-us,
02/26/2017 13:00:00,Windows 10,Chrome 56.0.2924.87,,portoalegre,br,TELEFONICA_BRASIL_S.A,rs,HD,PRIME_SUBSCRIPTION,Feature,en-us,
02/26/2017 15:00:00,Windows 10,Chrome 56.0.2924.87,,portoalegre,br,TELEFONICA_BRASIL_S.A,rs,HD,PRIME_SUBSCRIPTION,Feature,en-us,
02/26/2017 16:00:00,Windows 10,Chrome 56.0.2924.87,,portoalegre,br,TELEFONICA_BRASIL_S.A,rs,HD,PRIME_SUBSCRIPTION,Feature,en-us,
02/26/2017 18:00:00,Windows 10,Chrome 56.0.2924.87,,portoalegre,br,TELEFONICA_BRASIL_S.A,rs,HD,PRIME_SUBSCRIPTION,Feature,en-us,
02/26/2017 18:00:00,Windows 10,Chrome 56.0.2924.87,,portoalegre,br,TELEFONICA_BRASIL_S.A,rs,HD,PRIME_SUBSCRIPTION,Feature,en-us,
